age	Moderate	Moderate_m	Low	Low_m	HighDec	HighDec_m	AdPeak	AdPeak_m
13	0.39202	0.42236	0.10038	0.11055	2.09272	2.33724	0.69755	0.69547
14	0.42614	0.45087	0.09994	0.10146	1.95228	2.21815	0.97184	0.98346
15	0.49033	0.4786	0.10242	0.09319	2.10257	2.10476	1.25695	1.22811
16	0.52663	0.50509	0.08926	0.08564	2.09178	1.9964	1.31868	1.35405
17	0.52598	0.52982	0.07551	0.07872	2.01659	1.89243	1.32254	1.31776
18	0.56865	0.55223	0.06539	0.07235	2.01839	1.79216	1.16081	1.13163
19	0.59237	0.57169	0.06874	0.06647	1.92543	1.69494	0.85859	0.85718
20	0.59834	0.58756	0.07077	0.06101	1.40906	1.6001	0.56681	0.57245
21	0.562	0.59921	0.05411	0.05592	1.24359	1.50705	0.27664	0.33687
22	0.60709	0.60598	0.05527	0.05114	1.152	1.41525	0.19252	0.17458
23	0.56294	0.60734	0.0426	0.04665	1.12445	1.3243	0.08649	0.07963
24	0.53119	0.60284	0.03578	0.04241	1.13574	1.23398	0.03272	0.03194
25	0.52451	0.59226	0.03886	0.0384	0.82294	1.14426	0.01309	0.01126
26	0.67419	0.57561	0.03563	0.03462	0.93172	1.05538	0.00406	0.00349
27	0.57629	0.55319	0.03287	0.03106	1.18954	0.96781	0.00123	0.00095
28	0.60467	0.52563	0.03275	0.02772	1.04986	0.88225	0.00025	0.00023
29	0.44688	0.49382	0.02282	0.02462	0.80969	0.79952	0.00006	0.00005
30	0.49499	0.45885	0.02274	0.02176	0.79803	0.72053	0.00001	0.00001
31	0.42296	0.42193	0.01761	0.01916	0.56531	0.64611	0	0
32	0.40298	0.38427	0.02108	0.01681	0.57007	0.57696	0	0
33	0.52924	0.34698	0.02753	0.01471	1.14068	0.5136	0	0
34	0.27987	0.31099	0.01064	0.01287	0.70095	0.45627	0	0
35	0.23154	0.277	0.01031	0.01125	0.27506	0.40503	0	0
36	0.22073	0.24549	0.01137	0.00985	0.34988	0.3597	0	0
37	0.1621	0.21674	0.00725	0.00865	0.30806	0.31997	0	0
38	0.16344	0.19085	0.00824	0.00762	0.22579	0.28541	0	0
39	0.15921	0.16777	0.00345	0.00675	0.30627	0.25555	0	0
40	0.20542	0.14738	0.0062	0.00601	0.24316	0.2299	0	0
41	0.16974	0.12947	0.01012	0.00538	0.26561	0.20796	0	0
