age	HighUse	HighUse_m	TypicalUse	TypicalUse_m	LowUse	LowUse_m
0	2.29725	3.15822	0.58577	1.08413	0.0826	0.11511
1	3.30762	3.91103	1.00022	1.36585	0.12091	0.15156
2	4.99807	4.65956	1.44404	1.65484	0.18017	0.19203
3	6.06618	5.36852	1.65616	1.93816	0.20826	0.23536
4	6.79407	6.01475	2.06707	2.2065	0.22878	0.28058
5	7.7208	6.58713	2.45881	2.45447	0.31065	0.32704
6	8.45228	7.08358	2.91717	2.67988	0.35306	0.3744
7	8.82398	7.50748	3.16031	2.8826	0.44423	0.42254
8	8.80925	7.86475	3.39595	3.06357	0.60691	0.47149
9	8.91193	8.16194	3.52434	3.22415	0.66083	0.52131
10	8.79714	8.40523	3.5045	3.36571	0.69813	0.57211
11	8.40149	8.59996	3.46029	3.48942	0.78501	0.62398
12	8.59545	8.75058	3.37114	3.59625	0.57034	0.67697
13	9.00903	8.86071	3.63772	3.68692	0.83203	0.73109
14	8.83591	8.93327	3.82313	3.76195	0.87275	0.78631
15	8.67291	8.97062	3.77976	3.82172	0.82429	0.84256
16	8.21862	8.97474	3.64182	3.86649	0.80903	0.89971
17	8.08944	8.94728	3.50385	3.89647	0.79467	0.95762
18	8.09511	8.88971	3.37151	3.91181	0.78296	1.01606
19	7.74404	8.80333	3.33698	3.91267	0.66579	1.07479
20	7.9097	8.68933	3.30797	3.89919	0.60759	1.13349
21	8.12247	8.54881	3.71613	3.87152	1.30466	1.19181
22	7.8955	8.38281	3.86306	3.82983	1.53437	1.24931
23	8.44324	8.19224	3.79372	3.77426	1.44648	1.3055
24	8.33739	7.97791	3.79304	3.70496	1.49073	1.35978
25	7.69423	7.74049	3.71528	3.62203	1.37091	1.41145
26	7.83211	7.48039	3.67188	3.52554	1.46881	1.45966
27	7.81523	7.1978	3.68061	3.41541	1.49214	1.50339
28	8.04371	6.89254	3.69516	3.29147	1.5518	1.54137
