outcome,variable,est,lower,upper
High SUB,Supportive Parenting,1.019,0.839,1.221
High SUB,Delinquent Peer Affiliation,1.349*,1.151,1.618
High SUB,School Connectedness,0.857,0.719,1.029
High SUB,Neighborhood Connectedness,0.973,0.817,1.162
High SUB,Total Effect,1.155,0.971,1.409
High SUB,Parent Indirect Effect,0.999,0.986,1.014
High SUB,Peer Indirect Effect,1.022*,1.004,1.049
High SUB,School Indirect Effect,1.005,0.994,1.020
High SUB,Neighborhood Indirect Effect,1.000,0.992,1.006
High SUB,PGS Direct Effect,1.125,0.946,1.372
High SUB,PGS x Parent,1.019,0.862,1.201
High SUB,PGS x Peer,0.990,0.829,1.164
High SUB,PGS x School,1.009,0.847,1.215
High SUB,PGS x Neighborhood,0.946,0.780,1.113
High SUB,Age,1.003,0.905,1.108
High SUB,Female Sex,0.485*,0.334,0.699
High SUB,Family Income,0.787,0.599,1.037
High SUB,Parental Education,0.971,0.803,1.148
High SUB,Single Parent,0.983,0.703,1.452
High SUB,PGS x Age,1.016,0.907,1.132
High SUB,PGS x Sex,1.139,0.801,1.675
High SUB,PGS x Income,0.996,0.766,1.301
High SUB,PGS x Parental Education,1.029,0.864,1.190
High SUB,PGS x Single Parent,0.883,0.620,1.276
High SUB,High-Decline ASB,3.666,0.930,25.356
High SUB,Moderate ASB,1.917*,1.255,3.059
High SUB,Adolescent-Peaked ASB,1.200,0.634,2.404
Low SUB,Supportive Parenting,1.145,0.965,1.361
Low SUB,Delinquent Peer Affiliation,0.654*,0.527,0.798
Low SUB,School Connectedness,1.084,0.915,1.302
Low SUB,Neighborhood Connectedness,0.909,0.766,1.062
Low SUB,Total Effect,0.984,0.818,1.181
Low SUB,Parent Indirect Effect,0.992,0.975,1.002
Low SUB,Peer Indirect Effect,0.969*,0.931,0.995
Low SUB,School Indirect Effect,0.997,0.985,1.005
Low SUB,Neighborhood Indirect Effect,0.999,0.991,1.007
Low SUB,PGS Direct Effect,1.027,0.858,1.231
Low SUB,PGS x Parent,0.969,0.813,1.154
Low SUB,PGS x Peer,0.922,0.723,1.139
Low SUB,PGS x School,0.997,0.831,1.195
Low SUB,PGS x Neighborhood,1.019,0.868,1.214
Low SUB,Age,1.131*,1.030,1.246
Low SUB,Female Sex,1.536*,1.099,2.158
Low SUB,Family Income,0.788*,0.583,0.997
Low SUB,Parental Education,1.081,0.920,1.311
Low SUB,Single Parent,0.780,0.537,1.080
Low SUB,PGS x Age,1.006,0.914,1.108
Low SUB,PGS x Sex,0.980,0.689,1.402
Low SUB,PGS x Income,0.871,0.668,1.106
Low SUB,PGS x Parental Education,1.034,0.873,1.232
Low SUB,PGS x Single Parent,0.958,0.668,1.363
Low SUB,High-Decline ASB,0.000*,0.000,0.000
Low SUB,Moderate ASB,0.366*,0.188,0.640
Low SUB,Adolescent-Peaked ASB,0.427*,0.146,0.971
High-Decline ASB,Supportive Parenting,0.715,0.338,2.438
High-Decline ASB,Delinquent Peer Affiliation,2.321*,1.368,5.068
High-Decline ASB,School Connectedness,0.842,0.427,1.770
High-Decline ASB,Neighborhood Connectedness,0.783,0.309,2.092
High-Decline ASB,Total Effect,1.311,0.571,4.229
High-Decline ASB,Parent Indirect Effect,1.019,0.933,1.084
High-Decline ASB,Peer Indirect Effect,1.065*,1.009,1.168
High-Decline ASB,School Indirect Effect,1.006,0.975,1.047
High-Decline ASB,Neighborhood Indirect Effect,0.998,0.958,1.031
High-Decline ASB,PGS Direct Effect,1.203,0.523,3.999
