outcome,variable,est,lower,upper
Supportive Parenting,PGS,-0.106,-0.259,0.029
Supportive Parenting,Age,-0.072,-0.166,0.031
Supportive Parenting,Female Sex,-0.234,-0.554,0.054
Supportive Parenting,Family Income,-0.097,-0.464,0.204
Supportive Parenting,Parental Education,0.019,-0.089,0.124
Supportive Parenting,Single Parent,-0.236,-0.815,0.166
Supportive Parenting,White,0.231,-2.074,1.694
Supportive Parenting,Native,-2.367*,-5.305,-0.540
Supportive Parenting,Asian,-0.319,-3.178,1.628
Supportive Parenting,Other Race,-0.400,-2.980,1.287
Supportive Parenting,Hispanic,0.769,-0.103,1.447
Delinquent Peer Affiliation,PGS,0.123,-0.059,0.288
Delinquent Peer Affiliation,Age,0.078,-0.011,0.137
Delinquent Peer Affiliation,Female Sex,-0.142,-0.475,0.074
Delinquent Peer Affiliation,Family Income,0.066,-0.200,0.280
Delinquent Peer Affiliation,Parental Education,-0.035,-0.171,0.106
Delinquent Peer Affiliation,Single Parent,0.005,-0.295,0.375
Delinquent Peer Affiliation,White,0.444,-2.306,2.289
Delinquent Peer Affiliation,Native,-0.299,-3.612,1.829
Delinquent Peer Affiliation,Asian,0.506,-1.686,3.285
Delinquent Peer Affiliation,Other Race,-0.077,-2.179,1.240
Delinquent Peer Affiliation,Hispanic,0.466,-0.598,1.999
School Connectedness,PGS,-0.098,-0.268,0.044
School Connectedness,Age,-0.095*,-0.189,-0.015
School Connectedness,Female Sex,0.072,-0.267,0.297
School Connectedness,Family Income,-0.043,-0.250,0.214
School Connectedness,Parental Education,-0.022,-0.160,0.091
School Connectedness,Single Parent,-0.160,-0.504,0.085
School Connectedness,White,-0.124,-3.032,1.972
School Connectedness,Native,-3.585*,-7.550,-1.108
School Connectedness,Asian,-1.986,-5.305,1.151
School Connectedness,Other Race,-1.071,-4.075,2.390
School Connectedness,Hispanic,0.266,-1.175,1.127
Neighborhood Connectedness,PGS,0.007,-0.205,0.164
Neighborhood Connectedness,Age,-0.182*,-0.246,-0.112
Neighborhood Connectedness,Female Sex,-0.083,-0.368,0.144
Neighborhood Connectedness,Family Income,0.166,-0.094,0.390
Neighborhood Connectedness,Parental Education,-0.026,-0.171,0.062
Neighborhood Connectedness,Single Parent,-0.190,-0.542,0.125
Neighborhood Connectedness,White,-0.189,-2.611,1.777
Neighborhood Connectedness,Native,-0.839,-3.540,1.876
Neighborhood Connectedness,Asian,-0.865,-3.146,2.004
Neighborhood Connectedness,Other Race,0.031,-2.160,2.709
Neighborhood Connectedness,Hispanic,0.332,-1.309,1.505
