outcome,variable,est,lower,upper
High SUB,Supportive Parenting,1.069,0.660,1.637
High SUB,Delinquent Peer Affiliation,2.512*,1.687,5.018
High SUB,School Connectedness,0.808,0.370,1.250
High SUB,Neighborhood Connectedness,1.458,0.897,3.102
High SUB,Total Effect,1.768,0.597,8.365
High SUB,Parent Indirect Effect,0.993,0.865,1.042
High SUB,Peer Indirect Effect,1.121,0.921,1.471
High SUB,School Indirect Effect,1.021,0.943,1.145
High SUB,Neighborhood Indirect Effect,1.003,0.854,1.131
High SUB,PGS Direct Effect,1.553,0.461,6.297
High SUB,PGS x Parent,1.174,0.632,2.440
High SUB,PGS x Peer,0.914,0.389,1.584
High SUB,PGS x School,0.773,0.321,1.659
High SUB,PGS x Neighborhood,1.342,0.715,2.630
High SUB,Age,0.890,0.626,1.170
High SUB,Female Sex,0.492*,0.155,0.995
High SUB,Family Income,0.913,0.260,1.866
High SUB,Parental Education,1.380,0.930,2.726
High SUB,Single Parent,1.559,0.285,6.347
High SUB,White,0.285,0.000,1572990970998.537
High SUB,Native,1322778122.297*,204229.573,102664698750503600138.000
High SUB,Asian,111887000.965*,14.571,2469356938956999185448048.000
High SUB,Other Race,3.762,0.000,144023846141566.000
High SUB,Hispanic,0.473,0.000,24.705
High SUB,PGS x Age,0.855,0.536,1.134
High SUB,PGS x Sex,0.689,0.137,2.363
High SUB,PGS x Income,0.972,0.136,3.561
High SUB,PGS x Parental Education,1.055,0.646,1.711
High SUB,PGS x Single Parent,2.111,0.197,22.421
High SUB,High-Decline ASB,2.085,0.000,871525.148
High SUB,Moderate ASB,1.817,0.231,15.180
High SUB,Adolescent-Peaked ASB,0.473,0.044,3.404
Low SUB,Supportive Parenting,1.346,0.775,2.342
Low SUB,Delinquent Peer Affiliation,0.352*,0.099,0.594
Low SUB,School Connectedness,0.828,0.460,1.254
Low SUB,Neighborhood Connectedness,1.197,0.762,2.162
Low SUB,Total Effect,1.113,0.165,2.155
Low SUB,Parent Indirect Effect,0.969,0.878,1.019
Low SUB,Peer Indirect Effect,0.879,0.680,1.031
Low SUB,School Indirect Effect,1.018,0.956,1.129
Low SUB,Neighborhood Indirect Effect,1.001,0.925,1.070
Low SUB,PGS Direct Effect,1.280,0.220,2.570
Low SUB,PGS x Parent,1.095,0.520,1.917
Low SUB,PGS x Peer,1.162,0.255,2.092
Low SUB,PGS x School,0.904,0.429,1.670
Low SUB,PGS x Neighborhood,0.915,0.468,1.499
Low SUB,Age,1.462*,1.088,2.497
Low SUB,Female Sex,1.982,0.778,5.181
Low SUB,Family Income,0.599,0.038,1.349
Low SUB,Parental Education,1.085,0.743,1.571
Low SUB,Single Parent,1.172,0.301,3.456
Low SUB,White,12.293,0.000,9188740575703.906
Low SUB,Native,50.149,0.001,54420132224.352
Low SUB,Asian,0.000*,0.000,0.000
Low SUB,Other Race,0.000*,0.000,0.000
Low SUB,Hispanic,0.000*,0.000,0.000
Low SUB,PGS x Age,0.813,0.536,1.106
Low SUB,PGS x Sex,0.925,0.265,2.401
Low SUB,PGS x Income,1.127,0.135,2.790
Low SUB,PGS x Parental Education,1.160,0.678,1.861
Low SUB,PGS x Single Parent,1.846,0.298,6.019
Low SUB,High-Decline ASB,0.000*,0.000,0.000
Low SUB,Moderate ASB,0.548,0.000,3.504
Low SUB,Adolescent-Peaked ASB,0.477,0.000,3.888
High-Decline ASB,Supportive Parenting,0.000,0.000,29606054492266.062
High-Decline ASB,Delinquent Peer Affiliation,0.012,0.000,1198096638.603
High-Decline ASB,School Connectedness,0.000*,0.000,0.000
High-Decline ASB,Neighborhood Connectedness,1616333410672575031682260882086244628242066268624868.000*,41781230608340969172482284804846.000,648464634190556257600284048206662020048246486642668884048680884828424080082842648800.000
High-Decline ASB,Total Effect,11701453292511028052048.000*,470.596,1943850530089044132480460008066608280666202482.000
High-Decline ASB,Parent Indirect Effect,7.345,0.000,48630.199
High-Decline ASB,Peer Indirect Effect,0.580,0.018,21.115
High-Decline ASB,School Indirect Effect,211.664,0.044,15760226.277
High-Decline ASB,Neighborhood Indirect Effect,2.335,0.000,1604374824.177
High-Decline ASB,PGS Direct Effect,5553721958293988352.000*,7.043,2527375400656917486622060208460062684464.000
High-Decline ASB,PGS x Parent,69804043032773566144042686282020442.000*,1797628553697406208.000,2970260618612678982284446606648840660844880246062266244860.000
High-Decline ASB,PGS x Peer,1609589027632.690,0.104,114030770211156099072.000
High-Decline ASB,PGS x School,5001481472.530,0.000,81021378109297725016246.000
High-Decline ASB,PGS x Neighborhood,0.000*,0.000,0.000
High-Decline ASB,Age,0.000,0.000,9.375
High-Decline ASB,Female Sex,0.000*,0.000,0.000
High-Decline ASB,Family Income,13196023527426318250228206004464664266864644062420.000,0.000,43820288132814732448824806220244428200884604808248208082686408824084084608684404222024442.000
High-Decline ASB,Parental Education,199386.414,0.000,1056776888949085.250
High-Decline ASB,Single Parent,14608557212769493914600066826448642240486604226224880484422802284448688260204800022.000*,894844266603446841768408688204626682684488208242604406860462.000,9992251639895896372084268826228202482422404826248806468224028622088824668600020222082422268626064828204424680.000
High-Decline ASB,White,0.000*,0.000,0.000
High-Decline ASB,Native,0.000*,0.000,0.000
High-Decline ASB,Asian,0.000*,0.000,0.000
High-Decline ASB,Other Race,0.000*,0.000,0.000
High-Decline ASB,Hispanic,52222999628907817928286062088284088228040864420084642826820860022888642202804022240268002242840806804866844004420802808000464844224.000*,130818380996088093738628844824888444002208808280240482046628848866842022202408020806002268688006004846408882462.000,199083730582836801584462222042602820440620402666422228826862466640804686264484086282840064604268246800060282066084886040284682680806640600262688860446680400248.000
High-Decline ASB,PGS x Age,7746.528,0.000,101467054851.903
High-Decline ASB,PGS x Sex,0.000*,0.000,0.000
High-Decline ASB,PGS x Income,0.000,0.000,17491834342.849
High-Decline ASB,PGS x Parental Education,0.000,0.000,5.339
High-Decline ASB,PGS x Single Parent,0.000*,0.000,0.000
High-Decline ASB,High SUB,225749526366383590602800048046008660002826868.000*,253138470241646401024002044408002806848.000,854822991789813105526624602244888648244260606648268464422020802.000
High-Decline ASB,Low SUB,0.000*,0.000,0.000
Moderate ASB,Supportive Parenting,0.990,0.514,2.094
Moderate ASB,Delinquent Peer Affiliation,1.946,0.931,7.214
Moderate ASB,School Connectedness,0.767,0.147,1.675
Moderate ASB,Neighborhood Connectedness,0.697,0.236,1.579
Moderate ASB,Total Effect,0.856,0.133,4.665
Moderate ASB,Parent Indirect Effect,1.001,0.897,1.145
Moderate ASB,Peer Indirect Effect,1.085,0.948,1.361
Moderate ASB,School Indirect Effect,1.026,0.905,1.179
Moderate ASB,Neighborhood Indirect Effect,0.997,0.902,1.103
Moderate ASB,PGS Direct Effect,0.770,0.102,3.762
Moderate ASB,PGS x Parent,0.969,0.277,4.393
