outcome,variable,est,lower,upper
High SUB,Supportive Parenting,0.979,0.888,1.069
High SUB,Delinquent Peer Affiliation,1.896*,1.745,2.128
High SUB,School Connectedness,0.834*,0.750,0.920
High SUB,Neighborhood Connectedness,0.958,0.868,1.042
High SUB,Total Effect,1.483*,1.327,1.684
High SUB,Parent Indirect Effect,1.001,0.996,1.007
High SUB,Peer Indirect Effect,1.093*,1.067,1.126
High SUB,School Indirect Effect,1.019*,1.009,1.036
High SUB,Neighborhood Indirect Effect,1.002,0.998,1.009
High SUB,PGS Direct Effect,1.328*,1.185,1.522
High SUB,PGS x Parent,0.977,0.887,1.090
High SUB,PGS x Peer,0.920,0.820,1.015
High SUB,PGS x School,1.004,0.902,1.112
High SUB,PGS x Neighborhood,1.079,0.991,1.181
High SUB,Age,0.878*,0.831,0.928
High SUB,Female Sex,0.824*,0.689,0.976
High SUB,Family Income,0.945,0.807,1.097
High SUB,Parental Education,0.901*,0.829,0.986
High SUB,Single Parent,1.240*,1.027,1.542
High SUB,White,0.691,0.000,5.641
High SUB,Native,0.989,0.528,1.878
High SUB,Other Race,0.361,0.000,2.795
High SUB,Hispanic,0.845,0.341,1.826
High SUB,PGS x Age,1.057*,1.000,1.126
High SUB,PGS x Sex,1.161,0.980,1.412
High SUB,PGS x Income,0.919,0.780,1.060
High SUB,PGS x Parental Education,1.057,0.946,1.162
High SUB,PGS x Single Parent,0.994,0.787,1.300
High SUB,High-Decline ASB,4.397*,1.721,14.865
High SUB,Moderate ASB,2.092*,1.692,2.904
High SUB,Adolescent-Peaked ASB,1.839*,1.281,2.633
Low SUB,Supportive Parenting,1.116,0.958,1.305
Low SUB,Delinquent Peer Affiliation,0.519*,0.420,0.618
Low SUB,School Connectedness,0.998,0.872,1.145
Low SUB,Neighborhood Connectedness,0.896*,0.787,0.999
Low SUB,Total Effect,0.770*,0.637,0.915
Low SUB,Parent Indirect Effect,0.994,0.982,1.002
Low SUB,Peer Indirect Effect,0.913*,0.878,0.944
Low SUB,School Indirect Effect,1.000,0.985,1.014
Low SUB,Neighborhood Indirect Effect,1.005*,1.000,1.015
Low SUB,PGS Direct Effect,0.844,0.696,1.013
Low SUB,PGS x Parent,1.052,0.926,1.219
Low SUB,PGS x Peer,1.085,0.900,1.285
Low SUB,PGS x School,0.967,0.838,1.141
Low SUB,PGS x Neighborhood,1.024,0.911,1.149
Low SUB,Age,1.145*,1.057,1.235
Low SUB,Female Sex,1.445*,1.139,1.806
Low SUB,Family Income,0.775*,0.647,0.941
Low SUB,Parental Education,0.816*,0.710,0.925
Low SUB,Single Parent,0.978,0.751,1.307
Low SUB,White,0.325,0.000,3162.126
Low SUB,Native,1.219,0.436,2.630
Low SUB,Other Race,0.251,0.000,2.612
Low SUB,Hispanic,0.726,0.192,2.038
Low SUB,PGS x Age,1.024,0.948,1.092
Low SUB,PGS x Sex,0.951,0.737,1.169
Low SUB,PGS x Income,1.008,0.839,1.214
Low SUB,PGS x Parental Education,0.956,0.832,1.096
Low SUB,PGS x Single Parent,0.858,0.616,1.160
Low SUB,High-Decline ASB,0.611,0.000,3.139
Low SUB,Moderate ASB,0.428*,0.236,0.725
Low SUB,Adolescent-Peaked ASB,0.686,0.289,1.279
High-Decline ASB,Supportive Parenting,0.857,0.598,1.210
High-Decline ASB,Delinquent Peer Affiliation,3.568*,2.596,5.392
High-Decline ASB,School Connectedness,0.723,0.481,1.044
High-Decline ASB,Neighborhood Connectedness,0.961,0.687,1.420
