outcome,variable,est,lower,upper
Supportive Parenting,PGS,-0.027,-0.107,0.051
Supportive Parenting,Age,-0.113*,-0.169,-0.056
Supportive Parenting,Female Sex,-0.422*,-0.577,-0.194
Supportive Parenting,Family Income,-0.041,-0.166,0.092
Supportive Parenting,Parental Education,0.018,-0.049,0.097
Supportive Parenting,Single Parent,-0.118,-0.361,0.093
Supportive Parenting,White,-0.147,-0.477,0.169
Supportive Parenting,Native,0.072,-0.214,0.350
Supportive Parenting,Asian,0.082,-0.425,0.568
Supportive Parenting,Other Race,-0.079,-0.431,0.245
Supportive Parenting,Hispanic,0.201,-0.139,0.525
Delinquent Peer Affiliation,PGS,0.052,-0.034,0.148
Delinquent Peer Affiliation,Age,0.106*,0.055,0.158
Delinquent Peer Affiliation,Female Sex,-0.106,-0.291,0.050
Delinquent Peer Affiliation,Family Income,0.056,-0.069,0.185
Delinquent Peer Affiliation,Parental Education,0.060,-0.026,0.145
Delinquent Peer Affiliation,Single Parent,0.185,-0.033,0.377
Delinquent Peer Affiliation,White,0.081,-0.276,0.427
Delinquent Peer Affiliation,Native,0.231,-0.137,0.672
Delinquent Peer Affiliation,Asian,-0.026,-0.468,0.473
Delinquent Peer Affiliation,Other Race,0.047,-0.317,0.419
Delinquent Peer Affiliation,Hispanic,0.031,-0.279,0.294
School Connectedness,PGS,0.018,-0.057,0.110
School Connectedness,Age,-0.029,-0.080,0.029
School Connectedness,Female Sex,-0.032,-0.223,0.144
School Connectedness,Family Income,-0.100,-0.217,0.033
School Connectedness,Parental Education,0.008,-0.068,0.080
School Connectedness,Single Parent,-0.303*,-0.506,-0.080
School Connectedness,White,-0.068,-0.499,0.380
School Connectedness,Native,0.041,-0.335,0.446
School Connectedness,Asian,0.015,-0.516,0.520
School Connectedness,Other Race,-0.046,-0.432,0.335
School Connectedness,Hispanic,0.007,-0.301,0.287
Neighborhood Connectedness,PGS,-0.066,-0.146,0.014
Neighborhood Connectedness,Age,-0.076*,-0.134,-0.013
Neighborhood Connectedness,Female Sex,-0.103,-0.287,0.065
Neighborhood Connectedness,Family Income,0.065,-0.068,0.217
Neighborhood Connectedness,Parental Education,0.078*,0.006,0.158
Neighborhood Connectedness,Single Parent,-0.068,-0.298,0.138
Neighborhood Connectedness,White,0.036,-0.263,0.360
Neighborhood Connectedness,Native,-0.043,-0.422,0.402
Neighborhood Connectedness,Asian,-0.212,-0.771,0.265
Neighborhood Connectedness,Other Race,-0.004,-0.331,0.335
Neighborhood Connectedness,Hispanic,-0.057,-0.342,0.229
